"","region","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050"
"12","BGD",1.169045486,1.22688155,1.287578932,1.351279189,1.418130882,1.488289922,1.565502736,1.646721369,1.732153642,1.822018161,1.916544871,2.03024328,2.150686812,2.278275616,2.413433586,2.556609759,2.691747579,2.834028543,2.983830223,3.141550153,3.307606876,3.460191361,3.61981478,3.786801848,3.96149226,4.144241383,4.314489653,4.491731838,4.676255253,4.868359016,5.068354534,5.271754076,5.483316301,5.703368789,5.932252265,6.170321126,6.409150289,6.657223601,6.914898868,7.182547743,7.460556266,7.738862228,8.027550017,8.327006915,8.637634646,8.959849926
"13","BGR",9.826075372,10.15311647,10.49104246,10.84021565,11.20101035,11.57381338,11.88740207,12.20948734,12.54029941,12.88007472,13.22905613,13.86886454,14.53961657,15.24280877,15.98001007,16.75286528,17.44437198,18.16442194,18.91419335,19.69491301,20.50785838,21.23950714,21.99725858,22.78204393,23.59482769,24.43660874,25.16644615,25.91808129,26.69216519,27.48936832,28.31038115,29.01920355,29.74577312,30.4905342,31.25394228,32.03646421,32.70816893,33.3939572,34.0941243,34.80897173,35.53880728,36.19249076,36.85819777,37.53614947,38.22657109,38.92969198
"14","BLR",8.537005488,9.193916646,9.90137624,10.6632739,11.48379857,12.36746152,12.92478319,13.50721976,14.11590298,14.75201562,15.41679376,16.07714579,16.76578288,17.48391656,18.23281028,19.01378157,19.68815569,20.38644827,21.10950765,21.85821224,22.63347163,23.32332593,24.03420658,24.76675442,25.52162988,26.29951348,27.00525583,27.72993664,28.47406412,29.23816012,30.02276048,30.70801513,31.40891037,32.1258032,32.85905875,33.6090505,34.24344395,34.88981201,35.5483807,36.21938031,36.9030455,37.48806992,38.08236875,38.68608901,39.29938005,39.9223936
"15","BLT",14.32750437,14.41892663,14.51093224,14.60352492,14.69670843,14.79048654,15.44890045,16.13662435,16.85496299,17.60527923,18.38899657,19.05287569,19.74072216,20.45340125,21.19180946,21.95687567,22.55703828,23.17360556,23.8070259,24.45775997,25.126281,25.7364227,26.36138049,27.00151412,27.65719213,28.32879198,28.979762,29.64569072,30.32692189,31.02380713,31.73670616,32.40682975,33.09110306,33.78982488,34.50330027,35.23184076,35.88756485,36.55549308,37.23585258,37.92887472,38.63479517,39.22900156,39.8323469,40.44497173,41.06701879,41.69863298
"16","BLX",34.03967888,34.22666506,34.41467839,34.60372451,34.7938091,34.98493785,35.32694628,35.67229814,36.02102612,36.37316322,36.72874277,37.16479057,37.60601519,38.05247807,38.50424141,38.96136814,39.47823466,40.00195801,40.53262913,41.07034021,41.61518463,42.22278968,42.83926609,43.46474342,44.09935306,44.74322836,45.43814295,46.14385037,46.86051826,47.58831683,48.32741897,49.07146078,49.82695776,50.59408625,51.37302534,52.16395687,52.91580497,53.67848958,54.4521669,55.23699537,56.0331357,56.78527035,57.54750093,58.31996296,59.10279377,59.89613254
"17","BLZ",6.53744478,6.552620398,6.567831244,6.583077399,6.598358945,6.613675965,6.638189273,6.662793439,6.687488799,6.712275691,6.737154454,6.819169839,6.902183647,6.98620803,7.071255293,7.157337886,7.314891797,7.475913929,7.640480629,7.808669922,7.980561553,8.185573183,8.39585133,8.611531286,8.832751817,9.059655253,9.29876005,9.544175363,9.796067741,10.05460813,10.31997198,10.60032521,10.88829453,11.18408686,11.4879147,11.79999635,12.12400523,12.45691088,12.79895757,13.15039632,13.51148501,13.88064202,14.25988503,14.64948961,15.04973886,15.46092361
"18","BOL",3.779673762,3.887331384,3.998055452,4.111933308,4.229054782,4.349512263,4.496790337,4.649055368,4.806476218,4.969227468,5.13748961,5.322191519,5.51353379,5.711755156,5.917102935,6.129833332,6.375937789,6.631923004,6.898185678,7.175138435,7.463210467,7.755743537,8.059742933,8.375658095,8.703956082,9.04512226,9.380752895,9.728837527,10.08983828,10.46423441,10.85252299,11.24958472,11.66117377,12.08782164,12.5300793,12.98851785,13.45658164,13.94151292,14.44391953,14.96443124,15.50370049,16.04648994,16.60828261,17.18974382,17.79156217,18.41445038
"19","BRA",8.537008005,8.827672932,9.128234311,9.439029094,9.760405705,10.09272443,10.33933127,10.59196374,10.85076905,11.11589805,11.38750524,11.7565423,12.13753882,12.53088237,12.93697307,13.35622404,13.70894468,14.07098023,14.44257666,14.82398648,15.21546884,15.54705539,15.88586812,16.23206451,16.58580546,16.94725538,17.26918712,17.5972343,17.93151309,18.27214188,18.61924129,18.96184088,19.3107444,19.66606786,20.02792937,20.39644924,20.75615023,21.12219472,21.49469457,21.87376364,22.25951777,22.6362734,23.01940584,23.40902304,23.80523473,24.20815254
"20","BTN",3.481121642,3.709036515,3.951873357,4.210609135,4.486284778,4.780009367,5.178075686,5.609291898,6.076418635,6.582446429,7.130614858,7.816135818,8.567561191,9.391226877,10.29407789,11.28372693,12.01354878,12.79057488,13.61785836,14.49864984,15.43641016,16.23474962,17.07437756,17.95742934,18.88615075,19.86290372,20.7361961,21.64788366,22.59965446,23.59327082,24.63057251,25.59201374,26.59098432,27.62894917,28.70743043,29.82800963,30.86627139,31.94067325,33.0524732,34.202973,35.39351971,36.48561636,37.61141056,38.77194208,39.96828277,41.20153756
"21","BWA",11.67384401,11.8275202,11.98321941,12.14096826,12.30079375,12.46272319,12.8635154,13.27719679,13.70418187,14.14489849,14.59978824,15.11043168,15.63893542,16.18592416,16.75204443,17.33796536,17.82701107,18.32985112,18.8468746,19.37848157,19.92508339,20.398697,20.88356828,21.37996481,21.88816055,22.40843596,22.85879072,23.3181965,23.78683521,24.26489242,24.75255741,25.22786778,25.71230529,26.2060452,26.70926614,27.22215017,27.71378642,28.21430169,28.72385635,29.24261365,29.77073978,30.27610859,30.79005622,31.31272828,31.84427289,32.38484066
"22","CAF",0.67508743,0.681460141,0.687893009,0.694386602,0.700941494,0.707558263,0.725010958,0.742894144,0.761218437,0.779994719,0.799234139,0.829199512,0.860288366,0.892542822,0.926006581,0.960724985,1.000640893,1.042215215,1.085516854,1.130617576,1.17759213,1.228055183,1.280680716,1.335561398,1.392793868,1.452478906,1.515377669,1.581000228,1.649464533,1.720893646,1.795415956,1.877774583,1.963911132,2.053998905,2.148219149,2.246761427,2.354230834,2.466840827,2.584837298,2.708477898,2.838032602,2.976551336,3.121830894,3.274201259,3.434008518,3.601615653
"23","CAN",35.05024005,35.10649195,35.16283414,35.21926674,35.27578992,35.33240381,35.80375181,36.28138779,36.76539561,37.25586029,37.75286795,38.29831471,38.85164199,39.41296364,39.98239517,40.56005374,40.98627969,41.41698465,41.85221567,42.29202033,42.73644668,43.1766385,43.62136437,44.07067098,44.52460551,44.98321564,45.49597768,46.01458468,46.53910326,47.0696008,47.60614547,48.15516233,48.71051072,49.27226365,49.84049498,50.41527943,50.94859856,51.48755942,52.03222169,52.58264569,53.13889235,53.6289874,54.12360256,54.6227795,55.12656031,55.63498744
