"","region","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050"
"30","COG","0.476176189038836","0.48530554846613","0.494627232893887","0.504103208412792","0.513746922788422","0.523558717284208","0.537739980103405","0.552251394339701","0.567110948056099","0.582346814745824","0.5979240229108","0.609895609086507","0.622104873277057","0.63457359738548","0.647324735701313","0.660373081236887","0.673821649251783","0.687572469945439","0.701639853725191","0.716030772426397","0.729901587997791","0.741288422609548","0.752389319481382","0.763417678784026","0.774119034186767","0.784586064933169","0.793897168052494","0.803189345868603","0.812451007168391","0.821683046042209","0.830895232033859","0.838561759244484","0.846146705626311","0.85363470781825","0.861009882216216","0.868296265447385","0.87523541066058","0.882116130048641","0.888932049269481","0.895698201353533","0.902418058100843","0.907159431311355","0.911738502338284","0.916114533137768","0.920335414105115","0.92439633970989"
"31","COL","0.924301352117411","0.942209755432935","0.960493677800881","0.979156225642779","0.998154682369039","1.01749033049232","1.03523546497428","1.0531343967869","1.07119067564141","1.0894089398753","1.1077336593816","1.12380573240399","1.13999031854327","1.15626364376175","1.17267819411224","1.18929302351123","1.20186990084582","1.21455830839025","1.22737498251656","1.2402664221478","1.25234431711791","1.26279169164412","1.27244789364769","1.28201449277328","1.29077452998563","1.299040478934","1.30650506139454","1.31389712123054","1.32106316818626","1.3280444040543","1.33489455147395","1.34020975031088","1.34537041717318","1.35035513652413","1.35513086152325","1.35978491793818","1.36280981494485","1.36572568066717","1.36853131327569","1.3713159019216","1.37407638921983","1.37441043563608","1.37480514303034","1.37514597553465","1.37552007213826","1.37594779409328"
"32","CRB","0.356362885933973","0.355582436164834","0.354946216551958","0.354450462845685","0.354067368483405","0.353796578246253","0.360585373446237","0.367497317654308","0.374536162325192","0.381713650329405","0.389003199442711","0.396636633990236","0.404417378395218","0.412348696634637","0.420446241613552","0.428731612593848","0.435949538789076","0.443307679697749","0.450818653056069","0.45848094026869","0.465902759357218","0.472034016827989","0.477969415908643","0.483973837886108","0.489718612726812","0.495358324465252","0.500353773348464","0.505380212570109","0.510397454389228","0.515418488379525","0.520463842565896","0.524661230668985","0.528856755871517","0.533042109012095","0.537203797865313","0.541379141227782","0.544509818544018","0.547646735426742","0.550784547410329","0.553952294307144","0.557152675221734","0.559090300589731","0.561052555112508","0.562986745256844","0.564947115997814","0.566939747455881"
"33","CRI","1.13831672174017","1.16152319085774","1.1852294924574","1.20941799725961","1.2340504100332","1.25913843852678","1.28221514047722","1.30553325783492","1.32910977603738","1.35296005737686","1.37700260749263","1.39998822499056","1.42319090125329","1.4466164431165","1.47031116205587","1.49440010191551","1.51434613030361","1.53448944619121","1.55486784543265","1.57548843777716","1.59493872851938","1.60967814292432","1.62358955575766","1.63737714959441","1.65010138243054","1.66219598751439","1.67239675830544","1.68244725592785","1.69227740503829","1.70191799622857","1.71141124710508","1.71847848278072","1.72535192125959","1.73200899183239","1.73838305889425","1.74464543092814","1.74835115595456","1.75191544049185","1.75532004245199","1.75867155612936","1.76200176457803","1.76188858659099","1.7617832705888","1.7615860783405","1.76144114888871","1.76137055794185"
"34","CUB","1.30694394702176","1.28478729218735","1.26432154322935","1.24540941350127","1.22791130556358","1.21171325577239","1.23472868651826","1.25791955298073","1.28130640442105","1.30496579633562","1.32870423833357","1.34835176955897","1.36819298549626","1.38823449195278","1.40855336111744","1.42920409506602","1.44823220941651","1.46749768600373","1.48701849030639","1.50683573206149","1.52539732123353","1.5402987670545","1.55440919348196","1.56813286365171","1.58107657421563","1.59336582386929","1.60492572675464","1.61632601585671","1.62754668875758","1.63857998786071","1.64948773355303","1.65904291297242","1.66841049269266","1.67755421632043","1.68643624209433","1.69519949892009","1.70326813271673","1.71120196563454","1.71900549599083","1.72676063599173","1.73452561493857","1.73895044327671","1.74317652490932","1.74728829635225","1.75133509509429","1.75538727425752"
"35","CYP","1.31022339919107","1.33191077097773","1.35401579659063","1.37655448690596","1.39944635542664","1.42273185126724","1.43345554570571","1.44434386892457","1.45537783291548","1.46666491280303","1.47804415294428","1.49413618586782","1.51034483818112","1.52668368918266","1.54320185500179","1.55990125329449","1.57417387929962","1.5885757090742","1.60313762695157","1.61783161274904","1.63165668167348","1.64331038992092","1.65407678648104","1.66491895655875","1.67473334795691","1.68406063661112","1.69215196412237","1.7001723135535","1.70795409863589","1.71555726955783","1.72302587546661","1.72870915953129","1.73423444307676","1.73956084850445","1.74466641535039","1.7496320859892","1.75203208691144","1.75435238222603","1.75660179677857","1.75881273652432","1.76103196165898","1.76019372391999","1.75931030538453","1.75829619629654","1.7572942672159","1.75634531338059"
"36","CZE","1.27289546492004","1.29552861540481","1.31869473194028","1.34232992880358","1.36639094857848","1.39094116176663","1.41332354060661","1.4359536318154","1.45881487305423","1.48197325461266","1.50534083957966","1.52882449568587","1.55255408187259","1.57647545389728","1.6006688700962","1.62510708295427","1.64569023020023","1.66646714589485","1.68747572585406","1.70863197346418","1.72884749115951","1.74568334335495","1.76146003272164","1.77746451406178","1.79209661375252","1.80613044763599","1.81775084041776","1.82929333291493","1.84051724182202","1.85149837978369","1.86230665764479","1.86982424089354","1.87714596809944","1.8842297941297","1.89108216939914","1.8977506698971","1.90036374398528","1.90293277720831","1.90547061162126","1.90799819941127","1.91056531672013","1.90998127862609","1.90955844091735","1.90906451193697","1.90875682671475","1.90864334929295"
"37","DEU","1.4565075939912","1.47677120819799","1.49747026594627","1.5185232141134","1.53990446041241","1.56168252716808","1.58299200465052","1.60449308050018","1.62616229468023","1.64809598925589","1.67019679989977","1.68831354253461","1.70660914585024","1.7250336445043","1.74366506902322","1.76244742802069","1.7773342707132","1.79239060963269","1.8076572909753","1.82305855783604","1.83750731858447","1.8485487573421","1.85858076732246","1.86882650791106","1.87782209580373","1.88628265305345","1.89357181638865","1.90085927372329","1.9079007503344","1.91475637861417","1.92149997082666","1.92702398688539","1.93240014161974","1.93757061563489","1.94255409833108","1.94734258396635","1.94972179091199","1.95207839123692","1.95441704591772","1.95670923265469","1.9590095734788","1.95841353229247","1.95792340006149","1.95730573639876","1.95679958848638","1.95644411360784"
"38","DJI","0.510966156351823","0.520804041087204","0.530893464483234","0.541152496528913","0.55160644481098","0.562253236259736","0.571619387721516","0.581106053126798","0.590714760959112","0.600492369382224","0.610378050738558","0.622007534586021","0.633860042003135","0.645961276428813","0.658333332568848","0.670987321667253","0.684406525779587","0.698168286604646","0.712298789347968","0.726818321266441","0.741145743211648","0.754864039886972","0.768548033718628","0.782506779901472","0.796386662599457","0.810374692464259","0.823768752125646","0.837455528583524","0.851413840714258","0.865673548056831","0.880266198158747","0.893767010926483","0.907552344840913","0.921635860266972","0.936022374049978","0.950724726459273","0.963692038663523","0.976962605051169","0.990555557700023","1.00449242923389","1.01880996116546","1.03116945382134","1.04383354842647","1.0567712246567","1.07006691873658","1.08374517006764"
"39","DNK","1.77251099002738","1.79137063389095","1.81073070897765","1.83054789914374","1.85074187669762","1.87140272294857","1.89335493590094","1.91548821997632","1.9377777531738","1.96032404516958","1.98301660283683","2.00375652398403","2.02468653032565","2.04575462880016","2.06704388528335","2.08849895098231","2.10522162004794","2.12212670679502","2.1392632538662","2.15654453512076","2.1727349246159","2.18499386920295","2.19612261059085","2.20757438358055","2.21750073290097","2.22681201792839","2.23450110612098","2.24215413578226","2.24952530210236","2.25668916441755","2.26371755470047","2.26900262620899","2.27410877628403","2.27896585696128","2.28358485063349","2.28795364840401","2.28997222674542","2.29194118084537","2.29385764691128","2.29571013853828","2.29755392729481","2.29637176457569","2.29529016983228","2.29400894297625","2.29280705062526","2.29172223881506"
